source_type,identifier,link,paper_relevance,platform,github_stars,readme_present,docs_folder,wiki_present,external_docs_link,primary_doc_location,doc_level,docs_url,tool_notes,domain,domain_justification,interaction_level,interaction_justification,threat_model,threat_model_justification,irb_mentioned,irb_justification,consent_model,consent_justification,data_types_collected,data_types_justification,protocols_ports,protocols_justification,data_sensitivity,data_sensitivity_justification,data_minimization,data_minimization_justification,data_retention_policy,data_retention_justification,data_sharing,data_sharing_justification,jurisdiction_legal,jurisdiction_justification,containment_measures,containment_justification,deception_framing,deception_justification,researcher_responsibility,researcher_responsibility_justification,ethical_gaps,ethical_gaps_justification,relevance_to_project,relevance_justification,deployment,deployment_justification,no_external_deployment
Non-Scientific,Honeeepi,https://redmine.honeynet.org/projects/honeeepi/wiki,,Redmine,N/A,No,No,Yes,Yes,Wiki,Moderate,https://redmine.honeynet.org/projects/honeeepi/wiki,Confirmed Honeynet Redmine Wiki with setup guide and version history; Raspberry Pi honeypot sensor.,IT,Raspberry Pi honeypot sensor; Honeynet Redmine Wiki with setup guide and version history.,Low,Pi-based portable honeypot sensor with Redmine Wiki documentation.,Generic internet automated attackers; designed for portable/low-power deployment.,Honeynet Redmine Wiki with setup guide and version history confirmed.,No,Not available,None,Not documented,"Attacker IP addresses, protocol connection logs",Not documented.,Configurable,Raspberry Pi-based sensor; configurable ports.,Low,Connection metadata; no personal user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; portable Raspberry Pi deployment raises novel ethics of deploying honeypots in mobile/physical environments not discussed.,Physical mobility of Pi-based honeypot raises unique deployment ethics not addressed.,Moderate relevance; portable Pi-based sensor concept applicable to HoneySat portable ground-segment honeypot sensors.,Low-power portable sensor design relevant to HoneySat deployable ground station honeypot.,Not documented,Not documented,Not documented
Non-Scientific,Mail::SMTP::Honeypot,https://metacpan.org/pod/release/MIKER/Mail-SMTP-Honeypot-0.11/Honeypot.pm,,CPAN,N/A,No,No,No,Yes,External,Minimal,https://metacpan.org/pod/release/MIKER/Mail-SMTP-Honeypot-0.11/Honeypot.pm,MetaCPAN POD page is the documentation; Perl module acting as spam sink on tertiary MX host.,IT,Perl SMTP honeypot module acting as spam sink on tertiary MX host; MetaCPAN documented.,Low,SMTP honeypot accepting and discarding spam; MetaCPAN POD documentation.,Email spammers and spam relay bots targeting open SMTP relays.,MetaCPAN POD page is the documentation.,No,Not available,None,Not documented,"Spam email content, sender IP addresses, SMTP interaction data",Not documented; SMTP honeypot receives and discards spam email.,SMTP (25),Standard SMTP port.,Low,Spam email metadata; no legitimate user data beyond spam content.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Mailoney,https://github.com/phin3has/mailoney,,GitHub,215,Yes,No,No,No,README,Minimal,N/A,README only; SMTP honeypot written in Python.,IT,SMTP honeypot in Python logging email spam relay and credential attempts.,Low,Emulates SMTP server; logs relay and authentication attempts.,Spam relayers and email system attackers.,README only.,No,Not available,None,Not documented,"Attacker IP addresses, SMTP commands, email addresses, message content",Not documented; SMTP interaction may include email content.,SMTP (25),Standard SMTP port.,Medium,Email content and addresses captured; email addresses are personal data under GDPR.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Email addresses (personal data) captured without governance; no IRB.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,SendMeSpamIDS.py,https://github.com/johestephan/VerySimpleHoneypot,,GitHub,28,Yes,No,No,No,README,Minimal,N/A,README only; simple SMTP fetch-all IDS and analyzer.,IT,Simple SMTP fetch-all IDS and spam analyzer honeypot.,Low,Accepts all SMTP mail and analyzes for spam patterns.,Spam senders targeting open SMTP relays.,README only.,No,Not available,None,Not documented,"Spam email content, sender IP addresses, email metadata",Not documented.,SMTP (25),Standard SMTP port.,Low,Spam email content; no legitimate user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Shiva,https://github.com/shiva-spampot/shiva,,GitHub,141,Yes,No,No,Yes,README,Minimal,https://www.pentestpartners.com/security-blog/shiva-the-spam-honeypot-tips-and-tricks-for-getting-it-up-and-running/,README + external PentestPartners blog post listed in awesome-honeypots README.,IT,Spam honeypot with external PentestPartners blog post for setup guidance.,Low,SMTP spam honeypot capturing spam relay attempts; PentestPartners blog provides setup guide.,Spam relay bots targeting open SMTP relays.,README and external PentestPartners blog post.,No,Not available,None,Not documented,"Spam email content, sender IP addresses, SMTP commands",Not documented.,SMTP (25),Standard SMTP port.,Low,Spam content; no legitimate user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,SMTPLLMPot,https://github.com/referefref/SMTPLLMPot,,GitHub,60,Yes,No,No,No,README,Minimal,N/A,README only; super simple SMTP honeypot using GPT-3.5.,IT,SMTP honeypot using GPT-3.5 to generate realistic email server responses.,Low,LLM-powered SMTP honeypot generating dynamic email server responses via GPT-3.5.,SMTP relay scanners and spam bots; aims to fool more sophisticated email attackers.,README describes GPT-3.5 integration.,No,Not available,None,Not documented,"Attacker IP addresses, SMTP commands, email interaction data processed by GPT-3.5",All SMTP interaction sent to OpenAI GPT-3.5 API.,SMTP (25),Standard SMTP port.,Medium,All attacker SMTP interaction sent to OpenAI third-party API; data governance not discussed.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented; all interaction data sent to OpenAI API.,GPT-3.5 integration means all SMTP attacker data processed by external cloud API without governance.,Purely technical,Not documented,Not documented,Not documented,LLM API third-party data processing without governance; same concern as galah/beelzebub; no IRB.,Not documented,"Moderate relevance; LLM SMTP honeypot part of the LLM honeypot cluster (galah, shelLM, OHRA, beelzebub, SMTPLLMPot) with shared third-party API governance gap.",Reinforces the LLM honeypot ethics pattern of third-party API data processing without governance.,Not documented,Not documented,Not documented
Non-Scientific,SpamHAT,https://github.com/miguelraulb/spamhat,,GitHub,38,Yes,No,No,No,README,Minimal,N/A,README only; Perl-based spam honeypot tool with MySQL backend.,IT,Perl-based spam honeypot tool with MySQL backend for storing captured spam.,Low,Perl spam honeypot with MySQL storage for captured spam data.,Spam relay bots targeting SMTP.,README describes Perl + MySQL spam honeypot.,No,Not available,None,Not documented,"Spam email content, sender IPs, stored in MySQL database",README describes MySQL-backed spam storage.,SMTP (25),Standard SMTP port.,Low,Spam content stored in MySQL; no legitimate user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; minimal tool.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Spamhole,http://www.spamhole.net/,,Website,N/A,No,No,No,Yes,External,Minimal,http://www.spamhole.net/,Website-only spam trap for harvesters; no code repo.,IT,Website-only spam trap for email harvesters; no code repository.,Low,Web-based email harvester trap; website is the only documentation.,Email harvesting bots scanning web pages for email addresses.,Website-only spam trap; no code repository.,No,Not available,None,Not documented,"Harvester IP addresses, access patterns to honeypot email addresses",Not documented.,HTTP (80),Standard web port.,Low,Harvester access metadata; no personal user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; website-only tool with no code repository.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,honeypot (jadb),https://github.com/jadb/honeypot,,GitHub,31,Yes,No,No,No,README,Minimal,N/A,README only; unofficial PHP SDK for Project Honey Pot.,IT,Unofficial PHP SDK for Project Honey Pot — interfaces with the Project Honey Pot API.,Low,PHP client library for Project Honey Pot; not a standalone honeypot but a service integration.,Generic spam and web bot operators captured by Project Honey Pot infrastructure.,README describes PHP SDK for Project Honey Pot.,No,Not available,None,Not documented,IP reputation data from Project Honey Pot API,Not documented; SDK queries external Project Honey Pot data.,HTTP (API calls to Project Honey Pot),External API integration.,Low,IP reputation queries; no personal user data directly collected.,Not discussed,Not documented,Not discussed,Not documented,Data queried from Project Honey Pot external service,SDK integrates with external Project Honey Pot threat intelligence.,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; external API integration; Project Honey Pot data privacy policies not referenced.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,spamd,https://man.openbsd.org/spamd,,OpenBSD,N/A,No,No,No,Yes,External,Minimal,https://man.openbsd.org/spamd,OpenBSD man page is the only documentation; spam-deferral daemon with greylisting and tarpitting.,IT,OpenBSD spam-deferral daemon with greylisting and tarpitting; OpenBSD man page documentation.,Low,OpenBSD system daemon for spam deferral; not a traditional honeypot but listed in spam section.,Email spammers and automated SMTP relay bots.,OpenBSD man page is the documentation.,No,Not available,None,Not documented,"Spam sender IP addresses, SMTP connection metadata, greylisting data",OpenBSD man page describes greylisting and tarpitting.,SMTP (25),Standard SMTP port.,Low,SMTP connection metadata and greylisting data; no personal user data.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,No IRB; OpenBSD system tool with no ethics documentation.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
Non-Scientific,Cymmetria Mazerunner,https://cymmetria.com/products/mazerunner/,,Commercial,N/A,No,No,No,Yes,External,Minimal,https://cymmetria.com/products/mazerunner/,Commercial deception platform; website is only public documentation.,IT,Commercial cyber deception platform by Cymmetria deploying honeypots and decoys across enterprise networks.,Medium,Commercial medium-to-high interaction deception platform; website is only public documentation.,Sophisticated targeted attackers performing lateral movement within enterprise networks.,Commercial product; website documentation only.,No,Not available,None,Not documented,"Attacker interaction with decoys, lateral movement data, enterprise network behavior",Not documented; commercial product.,Enterprise-dependent (all services),Deception platform across all enterprise services.,Medium,Enterprise network interaction data; medium sensitivity.,Not discussed,Not documented,Not discussed,Not documented,None mentioned,Not documented,Not discussed,Not documented,Not documented,Not documented,Purely technical,Not documented,Not documented,Not documented,Commercial product with no public ethics governance; enterprise data collection without published framework.,Not documented,Low relevance.,No HoneySat/CPS relevance.,Not documented,Not documented,Not documented
